raw_symbol,contract_year,delivery_month,request_start,request_end,resolved_d0,resolved_d1,instrument_id
ZNH5,2015,3,2014-01-01,2015-05-05,2014-01-01,2015-04-12,42281
ZNM5,2015,6,2014-02-26,2015-08-04,2014-03-06,2015-08-04,752340
ZNU5,2015,9,2014-05-29,2015-11-04,2014-06-05,2015-11-04,326771
ZNZ5,2015,12,2014-08-28,2016-02-04,2014-09-05,2016-01-06,184597
ZNH6,2016,3,2014-11-27,2016-05-05,2014-12-07,2016-04-04,72174
ZNM6,2016,6,2015-02-27,2016-08-04,2015-03-08,2016-08-04,771901
ZNU6,2016,9,2015-05-30,2016-11-04,2015-06-07,2016-11-04,732065
ZNZ6,2016,12,2015-08-29,2017-02-04,2015-09-08,2015-10-11,569354
ZNZ6,2016,12,2015-08-29,2017-02-04,2016-03-07,2017-01-05,120107
ZNH7,2017,3,2015-11-27,2017-05-05,2016-06-07,2017-04-05,208387
ZNM7,2017,6,2016-02-27,2017-08-04,2016-09-07,2017-07-16,353160
ZNU7,2017,9,2016-05-29,2017-11-04,2016-12-07,2017-10-08,357060
ZNZ7,2017,12,2016-08-28,2018-02-04,2017-03-09,2018-02-04,793429
ZNH8,2018,3,2016-11-26,2018-05-05,2017-06-07,2018-05-05,525443
ZNM8,2018,6,2017-02-26,2018-08-04,2017-09-06,2018-07-29,615592
ZNU8,2018,9,2017-05-29,2018-11-04,2017-12-06,2018-10-07,799743
ZNZ8,2018,12,2017-08-28,2019-02-04,2018-03-06,2019-01-06,480218
ZNH9,2019,3,2017-11-26,2019-05-05,2018-06-06,2019-04-03,98159
ZNM9,2019,6,2018-02-26,2019-08-04,2018-09-05,2019-07-03,126136
ZNU9,2019,9,2018-05-29,2019-11-04,2018-12-05,2019-11-04,596431
ZNZ9,2019,12,2018-08-28,2020-02-04,2019-03-06,2020-01-03,59121
ZNH0,2020,3,2018-11-27,2020-05-05,2019-06-05,2020-05-05,771691
ZNM0,2020,6,2019-02-27,2020-08-04,2019-09-05,2020-07-08,105872
ZNU0,2020,9,2019-05-30,2020-11-04,2019-12-06,2020-10-07,421732
ZNZ0,2020,12,2019-08-29,2021-02-04,2020-03-08,2021-01-10,480372
ZNH1,2021,3,2019-11-27,2021-05-05,2020-06-07,2021-04-05,204527
ZNM1,2021,6,2020-02-27,2021-08-04,2020-09-08,2021-07-06,408794
ZNU1,2021,9,2020-05-29,2021-11-04,2020-12-08,2021-11-04,703006
ZNZ1,2021,12,2020-08-28,2022-02-04,2021-03-09,2022-01-05,507886
ZNH2,2022,3,2020-11-26,2022-05-05,2021-06-07,2022-05-05,768155
ZNM2,2022,6,2021-02-26,2022-08-04,2021-09-07,2022-06-28,146095
ZNU2,2022,9,2021-05-29,2022-11-04,2021-12-07,2022-09-28,234665
ZNZ2,2022,12,2021-08-28,2023-02-04,2022-03-09,2022-12-28,71412
ZNH3,2023,3,2021-11-26,2023-05-05,2022-06-07,2023-04-11,397730
ZNM3,2023,6,2022-02-26,2023-08-04,2022-09-07,2023-08-04,69078
ZNU3,2023,9,2022-05-29,2023-11-04,2022-12-07,2023-11-04,338574
ZNZ3,2023,12,2022-08-28,2024-02-04,2023-03-08,2024-02-04,12212
ZNH4,2024,3,2022-11-27,2024-05-05,2023-06-07,2024-05-05,110030
ZNM4,2024,6,2023-02-27,2024-08-04,2023-09-06,2024-07-03,42004501
ZNU4,2024,9,2023-05-30,2024-11-04,2023-12-05,2024-09-26,42002321
ZNZ4,2024,12,2023-08-29,2025-02-04,2024-03-05,2024-12-26,42000697
ZNH5,2025,3,2023-11-27,2025-05-05,2024-06-04,2025-03-27,42002219
ZNM5,2025,6,2024-02-27,2025-08-04,2024-09-05,2025-06-25,42004113
ZNU5,2025,9,2024-05-29,2025-11-04,2024-12-05,2025-09-28,42066706
ZNZ5,2025,12,2024-08-28,2026-02-04,2025-03-06,2026-01-04,42002111
ZNH6,2026,3,2024-11-26,2026-05-05,2025-06-04,2026-04-05,42004475
ZNM6,2026,6,2025-02-26,2026-05-23,2025-09-07,2026-05-23,42000661
